County,Year,CensusTract,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6
San Francisco,2010,001,10,20,30,40,50,60
San Francisco,2010,002,15,25,35,45,55,65
San Francisco,2011,001,12,22,32,42,52,62
San Francisco,2011,002,18,28,38,48,58,68
San Francisco,2012,001,14,24,34,44,54,64
San Francisco,2012,002,20,30,40,50,60,70
San Francisco,2013,001,16,26,36,46,56,66
San Francisco,2013,002,22,32,42,52,62,72
San Francisco,2014,001,18,28,38,48,58,68
San Francisco,2014,002,24,34,44,54,64,74
San Francisco,2015,001,20,30,40,50,60,70
San Francisco,2015,002,26,36,46,56,66,76
San Francisco,2016,001,22,32,42,52,62,72
San Francisco,2016,002,28,38,48,58,68,78
San Francisco,2017,001,24,34,44,54,64,74
San Francisco,2017,002,30,40,50,60,70,80
San Francisco,2018,001,26,36,46,56,66,76
San Francisco,2018,002,32,42,52,62,72,82
San Francisco,2019,001,28,38,48,58,68,78
San Francisco,2019,002,34,44,54,64,74,84
San Francisco,2020,001,30,40,50,60,70,80
San Francisco,2020,002,36,46,56,66,76,86
San Francisco,2021,001,32,42,52,62,72,82
San Francisco,2021,002,38,48,58,68,78,88
San Francisco,2022,001,34,44,54,64,74,84
San Francisco,2022,002,40,50,60,70,80,90
San Francisco,2023,001,36,46,56,66,76,86
San Francisco,2023,002,42,52,62,72,82,92
Alameda,2010,001,11,21,31,41,51,61
Alameda,2010,002,13,23,33,43,53,63
Alameda,2011,001,14,24,34,44,54,64
Alameda,2011,002,16,26,36,46,56,66
Alameda,2012,001,15,25,35,45,55,65
Alameda,2012,002,17,27,37,47,57,67
Alameda,2013,001,16,26,36,46,56,66
Alameda,2013,002,18,28,38,48,58,68
Alameda,2014,001,17,27,37,47,57,67
Alameda,2014,002,19,29,39,49,59,69
Alameda,2015,001,18,28,38,48,58,68
Alameda,2015,002,20,30,40,50,60,70
Alameda,2016,001,19,29,39,49,59,69
Alameda,2016,002,21,31,41,51,61,71
Alameda,2017,001,20,30,40,50,60,70
Alameda,2017,002,22,32,42,52,62,72
Alameda,2018,001,21,31,41,51,61,71
Alameda,2018,002,23,33,43,53,63,73
Alameda,2019,001,22,32,42,52,62,72
Alameda,2019,002,24,34,44,54,64,74
Alameda,2020,001,23,33,43,53,63,73
Alameda,2020,002,25,35,45,55,65,75
Alameda,2021,001,24,34,44,54,64,74
Alameda,2021,002,26,36,46,56,66,76
Alameda,2022,001,25,35,45,55,65,75
Alameda,2022,002,27,37,47,57,67,77
Alameda,2023,001,26,36,46,56,66,76
Alameda,2023,002,28,38,48,58,68,78
